06-20,11-23,09-06,07-31,01-27,03-11,05-05,04-21,12-16,10-15,02-04,03-08,11-10,12-21,08-26,05-13,09-21,06-14,02-18,11-28
09-20,11-03,06-02,03-08,06-11,08-27,09-07,11-21,12-16,04-30,08-09,03-31,07-22,02-03,08-19,01-10,10-06,10-20,05-14,10-09
01-01,07-15,08-26,09-16,02-14,06-06,11-01,04-23,04-20,09-10,03-17,08-13,11-11,12-11,01-22,08-08,06-30,07-31,04-07,10-02
05-11,01-21,02-07,10-20,07-08,06-03,05-13,09-17,12-11,08-24,04-22,04-01,11-15,06-10,03-24,12-16,07-13,11-30,01-07,08-13
04-26,09-10,01-22,05-07,06-15,10-01,12-28,02-01,06-18,09-27,03-15,04-10,11-06,07-13,10-08,08-23,06-01,04-29,01-15,12-12
01-13,08-29,02-21,05-02,08-30,12-09,02-18,09-03,05-15,06-01,03-27,04-12,11-24,07-29,01-08,12-11,09-08,03-20,07-31,02-23
07-09,12-15,04-03,05-07,08-09,01-07,08-10,05-19,07-17,03-21,12-31,02-28,06-17,09-22,02-14,08-15,11-17,12-01,04-29,04-04
03-23,05-07,02-14,11-29,11-17,01-05,04-22,12-02,07-31,06-26,12-06,07-14,08-31,05-26,02-22,04-05,08-28,11-01,01-20,07-27
06-21,01-01,04-30,05-30,11-24,12-25,10-03,01-20,04-19,04-12,05-18,09-26,09-16,03-01,08-16,07-04,05-25,12-01,01-12,02-15
01-07,10-14,09-30,02-02,07-17,09-13,07-03,02-26,12-12,10-31,04-24,09-09,12-01,06-17,07-09,04-13,02-19,07-07,08-29,11-12
07-13,04-12,04-05,05-28,01-22,12-21,03-21,04-15,10-27,05-05,09-13,05-30,06-18,11-09,02-08,12-26,08-31,05-09,01-02,01-14
05-07,06-23,12-22,02-14,01-01,01-31,04-04,04-27,05-16,07-31,03-09,09-30,09-12,02-19,08-25,12-04,10-09,05-06,02-10,09-13
11-09,10-21,06-25,02-17,07-13,05-12,08-11,01-30,08-06,03-05,03-15,12-31,08-12,09-28,03-23,11-05,01-20,09-29,11-22,10-16
02-13,01-12,05-01,10-15,06-12,06-20,08-19,11-15,02-05,01-02,09-11,11-20,03-13,12-25,05-04,04-05,04-20,03-24,02-28,12-02
12-11,01-02,10-27,05-03,01-26,04-08,02-02,01-16,11-11,09-23,06-05,10-04,03-17,07-11,12-27,08-06,04-05,02-23,05-06,03-16
05-07,11-27,10-30,07-13,02-28,01-01,05-29,02-04,10-13,03-24,06-18,09-30,08-14,05-29,06-04,09-17,06-12,04-19,05-06,12-05
07-12,04-21,02-06,01-12,12-12,06-09,10-20,05-29,12-02,03-09,02-26,09-29,11-22,05-26,03-22,02-22,06-29,12-15,01-18,07-13
03-29,07-12,01-23,02-27,05-13,11-26,12-21,05-21,03-14,06-25,09-16,12-15,04-23,05-26,07-17,11-24,02-14,10-21,12-01,04-03
05-21,07-17,03-03,04-27,08-23,04-05,12-11,12-07,10-09,06-05,06-11,09-17,03-26,02-01,01-01,11-11,08-19,09-09,01-15,10-03
01-02,03-04,05-19,06-23,08-08,12-23,11-23,05-08,07-09,05-19,02-20,03-24,12-21,11-04,04-05,05-02,05-03,05-02,02-02,03-16
06-10,12-15,03-01,08-08,09-30,04-22,11-09,10-12,10-13,07-26,04-13,05-16,07-25,12-10,10-31,04-07,04-29,02-11,03-05,12-01
03-23,08-27,03-08,01-26,11-13,12-01,01-24,03-03,07-11,07-16,02-21,12-12,05-22,01-07,05-18,11-14,03-22,07-01,12-04,04-22
05-10,02-20,12-09,11-25,07-14,08-19,02-14,06-05,10-22,09-02,11-18,03-15,07-29,08-08,05-04,01-26,04-25,06-09,10-02,05-28
